Date,Open,High,Low,Close,Adj Close,Volume
2015-03-30,189.750000,191.779999,187.470001,189.149994,164.536102,9363300
2015-04-06,188.229996,192.570007,188.089996,192.539993,167.484955,5878600
2015-04-13,192.360001,193.419998,189.750000,190.589996,165.788742,7693100
2015-04-20,191.669998,194.289993,191.500000,193.979996,168.737625,5579900
2015-04-27,194.630005,194.740005,190.320007,193.100006,167.972122,7838200
2015-05-04,193.639999,194.309998,189.529999,193.949997,168.711502,6430000
2015-05-11,193.929993,194.880005,191.229996,194.729996,169.389999,5153100
2015-05-18,194.630005,195.949997,194.479996,195.259995,169.850998,6954000
2015-05-25,194.729996,195.240005,192.699997,193.490005,168.311356,5300800
2015-06-01,194.229996,194.929993,191.580002,192.300003,167.276199,6416800
2015-06-08,192.169998,194.369995,190.369995,192.509995,167.458862,6716300
2015-06-15,191.220001,195.529999,190.470001,193.850006,168.624512,5116000
2015-06-22,194.369995,194.919998,191.800003,192.419998,167.380585,8834300
2015-06-29,190.779999,191.429993,188.240005,190.130005,166.161774,11295600
2015-07-06,188.720001,190.899994,187.190002,190.240005,166.257950,10996100
2015-07-13,191.589996,194.919998,191.580002,194.850006,170.286728,5151400
2015-07-20,195.089996,195.460007,190.360001,190.669998,166.633698,5558100
2015-07-27,189.779999,193.919998,189.149994,192.949997,168.626251,7509700
2015-08-03,193.000000,193.750000,189.690002,190.669998,166.633698,9228600
2015-08-10,191.899994,193.149994,188.300003,192.020004,167.813553,12000100
2015-08-17,191.419998,193.160004,181.039993,181.039993,158.217636,15063600
2015-08-24,172.000000,183.190002,168.080002,182.720001,159.685867,37657100
2015-08-31,181.679993,182.539993,174.830002,176.490005,154.241287,17616700
2015-09-07,179.669998,182.850006,178.070007,180.320007,157.588425,8333400
2015-09-14,180.580002,185.990005,179.179993,180.130005,157.422379,10957100
2015-09-21,180.149994,181.199997,174.690002,176.759995,154.477188,11606100
2015-09-28,175.860001,178.750000,171.360001,178.750000,157.047256,17331600
2015-10-05,180.139999,185.080002,180.000000,184.580002,162.169403,9828900
2015-10-12,184.679993,186.339996,182.389999,186.199997,163.592682,6855800
2015-10-19,185.660004,190.630005,184.860001,190.220001,167.124573,6599600
2015-10-26,190.110001,192.000000,188.649994,190.559998,167.423309,8635400
2015-11-02,190.979996,194.059998,190.850006,192.559998,169.180481,12468300
2015-11-09,191.889999,192.009995,185.580002,185.669998,163.127060,10178900
2015-11-16,185.500000,192.660004,185.360001,191.929993,168.626984,9898000
2015-11-23,191.889999,192.539993,190.179993,192.149994,168.820328,4533300
2015-11-30,192.449997,193.449997,187.729996,192.160004,168.829102,10988600
2015-12-07,191.880005,191.880005,184.750000,184.979996,162.520813,15143000
2015-12-14,185.320007,191.160004,183.309998,184.399994,162.011276,20511000
2015-12-21,184.740005,189.169998,183.470001,188.509995,165.622223,8038000
2015-12-28,187.850006,190.509995,186.929993,186.929993,165.212418,9356400
2016-01-04,183.770004,185.119995,175.649994,175.970001,155.525757,22140900
2016-01-11,177.039993,178.639999,170.100006,172.149994,152.149567,24786500
2016-01-18,174.199997,174.860001,165.960007,174.660004,154.367950,20057200
2016-01-25,174.100006,177.750000,171.500000,177.750000,157.098969,15632600
2016-02-01,176.610001,178.389999,171.570007,172.309998,152.291031,18829500
2016-02-08,170.289993,172.649994,166.050003,171.139999,151.256958,12955800
2016-02-15,173.199997,177.250000,172.050003,176.070007,155.614151,7409300
2016-02-22,177.779999,180.360001,173.600006,178.979996,158.186111,12385700
2016-02-29,178.940002,184.660004,177.380005,183.779999,162.428421,15980400
2016-03-07,182.850006,186.009995,181.029999,185.979996,164.372833,12798400
2016-03-14,185.399994,188.789993,184.419998,188.449997,166.555847,9999500
2016-03-21,187.179993,188.210007,185.009995,186.300003,164.655624,6565100
2016-03-28,186.759995,189.960007,185.630005,189.770004,168.622635,10764100
2016-04-04,189.740005,189.899994,186.259995,187.570007,166.667831,9536900
2016-04-11,188.259995,191.309998,186.830002,190.559998,169.324585,10193400
2016-04-18,189.990005,193.429993,189.850006,191.660004,170.302002,9294000
2016-04-25,191.070007,192.440002,188.050003,189.220001,168.133957,10419300
2016-05-02,189.809998,190.949997,187.000000,188.649994,167.627441,9233400
2016-05-09,188.550003,191.210007,187.460007,187.759995,166.836624,8757500
2016-05-16,187.979996,190.160004,185.970001,188.490005,167.485291,9728800
2016-05-23,188.479996,192.830002,188.020004,192.770004,171.288361,7621400
2016-05-30,193.160004,193.479996,191.589996,192.919998,171.421631,8696200
2016-06-06,193.289993,194.949997,192.119995,192.669998,171.199478,7224400
2016-06-13,192.029999,192.970001,188.570007,190.429993,169.209122,10405500
2016-06-20,192.559998,193.440002,186.000000,186.339996,165.574905,18157900
2016-06-27,185.059998,193.119995,182.270004,192.600006,171.992523,22333800
2016-07-04,191.729996,195.360001,189.970001,195.169998,174.287537,8183900
2016-07-11,195.619995,198.929993,195.410004,198.009995,176.823685,14752000
2016-07-18,198.149994,199.440002,197.880005,199.330002,178.002472,9444500
2016-07-25,199.100006,199.600006,197.850006,199.279999,177.957794,7393800
2016-08-01,199.330002,200.220001,196.880005,200.169998,178.752579,11458100
2016-08-08,200.410004,200.889999,199.330002,200.470001,179.020493,7848400
2016-08-15,200.889999,201.410004,199.139999,200.539993,179.082962,12342000
2016-08-22,200.300003,201.509995,198.440002,199.380005,178.047119,7409200
2016-08-29,199.529999,200.830002,198.240005,200.369995,178.931168,8643900
2016-09-05,200.690002,201.149994,195.669998,195.679993,174.742996,8661000
2016-09-12,194.880005,198.949997,194.119995,195.889999,174.930496,12780800
2016-09-19,196.630005,199.710007,195.639999,198.289993,177.865005,9222900
2016-09-26,197.470001,199.339996,196.160004,198.690002,178.223816,10561500
2016-10-03,198.179993,198.600006,196.479996,197.460007,177.120468,9021800
2016-10-10,197.460007,198.949997,193.919998,195.630005,175.479004,9025500
2016-10-17,195.639999,197.080002,194.809998,196.470001,176.232498,6313700
2016-10-24,197.369995,197.649994,194.399994,195.130005,175.030487,7752100
2016-10-31,195.490005,195.740005,191.320007,191.479996,171.756439,11402300
2016-11-07,194.169998,200.440002,194.009995,198.770004,178.295578,18954700
2016-11-14,199.300003,201.320007,198.059998,200.660004,179.990921,9224900
2016-11-21,201.250000,203.500000,201.110001,203.500000,182.538345,8724100
2016-11-28,203.070007,203.690002,201.240005,201.750000,180.968628,11645700
2016-12-05,202.639999,208.029999,202.419998,208.000000,186.574860,11692700
2016-12-12,207.919998,209.699997,206.979996,207.869995,186.458206,15209200
2016-12-19,208.100006,209.309998,206.500000,207.190002,185.848282,9926500
2016-12-26,207.479996,208.149994,204.509995,205.309998,185.313400,10070200
2017-01-02,206.679993,209.089996,205.559998,208.610001,188.291992,14339300
2017-01-09,208.339996,208.820007,206.539993,208.460007,188.156616,15639500
2017-01-16,207.789993,208.699997,206.970001,208.130005,187.858719,7419900
2017-01-23,207.839996,210.899994,206.830002,210.250000,189.772247,13313000
2017-01-30,209.479996,210.729996,207.789993,210.639999,190.124298,15193900
2017-02-06,210.119995,212.800003,209.630005,212.570007,191.866302,6285700
2017-02-13,213.110001,215.899994,213.070007,215.839996,194.817825,9707300
2017-02-20,216.320007,217.539993,216.160004,217.389999,196.216827,6719300
2017-02-27,217.320007,220.660004,216.720001,218.979996,197.652008,10871700
2017-03-06,218.070007,218.649994,216.460007,218.169998,196.920837,8514300
2017-03-13,218.179993,219.850006,216.889999,218.559998,197.272888,9474700
2017-03-20,218.589996,219.130005,213.880005,214.729996,193.815933,12189200
2017-03-27,212.869995,217.130005,212.619995,216.350006,196.186371,10714800
2017-04-03,216.509995,217.929993,214.740005,215.910004,195.787369,11108500
2017-04-10,216.059998,216.880005,213.470001,213.470001,193.574783,6908700
2017-04-17,214.000000,216.500000,213.800003,215.399994,195.324875,11803600
2017-04-24,217.750000,219.899994,217.229996,218.600006,198.226654,9347800
2017-05-01,219.160004,220.059998,218.240005,220.059998,199.550583,8903100
2017-05-08,220.130005,220.490005,218.619995,219.410004,198.961182,7841000
2017-05-15,219.880005,220.940002,216.130005,218.710007,198.326385,12731800
2017-05-22,219.259995,222.240005,219.229996,221.929993,201.246323,7338500
2017-05-29,221.559998,224.320007,220.919998,224.100006,203.214066,7808400
2017-06-05,223.990005,224.929993,222.100006,223.500000,202.669983,7843100
2017-06-12,223.210007,224.839996,222.509995,223.869995,203.005478,9643300
2017-06-19,224.729996,225.770004,222.720001,223.369995,202.552078,6822900
2017-06-26,224.000000,224.449997,220.419998,222.059998,202.276199,15269500
2017-07-03,223.089996,223.529999,220.720001,222.339996,202.531265,8495000
2017-07-10,222.199997,225.899994,221.220001,225.470001,205.382431,8058800
2017-07-17,225.449997,227.250000,224.729996,226.770004,206.566635,9737800
2017-07-24,226.669998,227.779999,225.649994,226.770004,206.566635,8400400
2017-07-31,227.229996,227.589996,226.289993,227.259995,207.012985,8890000
2017-08-07,227.330002,228.619995,223.850006,224.229996,204.252899,8077400
2017-08-14,225.559998,227.389999,222.449997,222.869995,203.014053,11130300
2017-08-21,222.850006,225.600006,222.119995,224.600006,204.589890,6765800
2017-08-28,225.160004,228.110001,223.149994,227.690002,207.404678,7172600
2017-09-04,227.100006,227.350006,224.979996,226.399994,206.229538,7262800
2017-09-11,227.850006,230.130005,227.839996,230.089996,209.590820,7975000
2017-09-18,230.460007,230.899994,228.630005,229.039993,208.634384,7977200
2017-09-25,228.820007,230.830002,227.860001,230.759995,211.277832,8772800
2017-10-02,231.000000,233.929993,230.910004,233.679993,213.951263,6857000
2017-10-09,233.919998,234.470001,232.979996,234.139999,214.372452,4979600
2017-10-16,234.410004,236.190002,233.619995,236.160004,216.221893,7577100
2017-10-23,236.490005,236.880005,233.289993,236.720001,216.734604,10986000
2017-10-30,235.630005,237.440002,235.320007,237.429993,217.384674,8570700
2017-11-06,237.240005,238.220001,235.479996,237.039993,217.027573,10565400
2017-11-13,236.330002,237.929993,234.820007,236.899994,216.899384,8542300
2017-11-20,237.119995,239.279999,236.860001,239.119995,218.931992,5934700
2017-11-27,239.190002,244.399994,238.830002,242.899994,222.392868,16123900
2017-12-04,244.699997,245.070007,241.330002,243.889999,223.299255,9608800
2017-12-11,244.020004,246.550003,243.899994,246.119995,225.341034,11280300
2017-12-18,247.520004,248.009995,246.270004,247.009995,226.155884,11980800
2017-12-25,245.660004,246.770004,245.029999,245.289993,224.581085,7544800
2018-01-01,246.149994,251.399994,245.740005,251.250000,231.145874,10810200
2018-01-08,251.160004,255.559998,250.820007,255.410004,234.973007,10894800
2018-01-15,256.790009,257.690002,253.800003,257.679993,237.061356,11282700
2018-01-22,257.450012,263.369995,257.450012,263.359985,242.286850,13147300
